NUMBER,EXPERIMENT
1,5DTTX_2
2,10DTTX_9
3,5DTTX_7
4,CTRL_6
5,CTRL_1
6,10DTTX_6
7,CTRL_8
8,5DTTX_5
9,10DTTX_2
10,5DTTX_6
11,5DTTX_10
12,10DTTX_8
13,CTRL_5
14,5DTTX_8
15,CTRL_10
16,10DTTX_7
17,5DTTX_1
18,CTRL_2
19,10DTTX_10
20,5DTTX_9
21,10DTTX_5
22,CTRL_7
23,CTRL_9
24,CTRL_12
25,5DTTX_13
26,10DTTX_14
27,10DTTX_11
28,5DTTX_15
29,CTRL_13
30,10DTTX_13
31,5DTTX_11
32,CTRL_11
33,10DTTX_15
34,5DTTX_14
35,10DTTX_12
36,10DTTX_16
37,5DTTX_16
38,CTRL_18
39,CTRL_16
40,10DTTX_18
41,5DTTX_18
42,10DTTX_17
43,CTRL_17
44,CTRL_19
45,5DTTX_17
,
